document,barcode,page,iiif_link,text,annotation_id,_score,rank,unpacked_highlights,onb_viewer_link
Z166069305_10,Z166069305,10,https://iiif.onb.ac.at/images/ABO/Z166069305/00000010/full/full/0/native.jpg,"VI grose Flinten, die ihm seine Diener zur Seite nach: tragen und die er ein einziges mal losschiest. Dann nimmt er zwei Paar Pistolen, die er im Gurtel , fuhrtz ferner acht Pfeile, die er in einem Fioches tragt und mit der Hand mit groser Geschwindigkeit wirft, hierauf bedient er sich zum Micderschlagen feia ner Keyle. Sein letztes Hulfeitrittet find jwei Sa: bel. Den Zaum reines Pferdes nimmt er zwischen die Zahne und in jede Hand einen Sabel, sturzt auf seinen Feind los uno hauet rechts und links ein .. Aegypten ist von jeher cine Beute auslandi- fcher Eroberer gewesen, und wenn sie sich in seinen Befis gesezt batten, tyrannifirten fie dasiilbe auf dic grausamste Weise. Ich will hier nach Slo kers Weltgerichte die versdiedenen Wolfer anfuh: ren, die es seit vier tausen Jahren beerrscht a-! ben, und die an Kultur, Religion und Sprache! unenslich von einander verschieden waren. Acgyp: ten wurde 1) von den Pharaonen, bis vor Skrifti Gea burt 524 I. 2) von den Perfern, 200 J. Lang, ) 3) von den macedonischen Ptolemaern, 300 J.( ang, von den Romern, von Christi Geburt ans 5) von den Vyzantinern, 250 Jahre lang, 6 von 009 ) von 650 bis 972pm 7) von den Fatimiten Kurden und Ma: inelucken 500 J. lang, 8) von den osmannischen Turken, seit 1517 be- herrscht, Das Urvolk unter den Pfaraonen ist nicht mehr. Die Copten werden jezt fur die alten Ein- wohner Aegyptens gehalten. Sie sind aber von den Zeiten der Ptolemaischen, Romischen und bis 4901",recogito-64b5828e-b14d-49dc-8d88-f97de52f9202,N/A,N/A,"Den Zaum reines Pferdes nimmt er zwischen die Zahne und in jede Hand einen Sabel, sturzt auf seinen Feind los uno hauet rechts und links ein",https://digital.onb.ac.at/OnbViewer/viewer.faces?doc=ABO_%2BZ166069305&order=00000010&view=SINGLE
Z166069305_12,Z166069305,12,https://iiif.onb.ac.at/images/ABO/Z166069305/00000012/full/full/0/native.jpg,"VIII als einer Strohdecke und in zwei bis drei irdenen Tos pfen., Es ist und braucht uberhaupt auserst wenig, Man konnt den Gebrauch der Mahlen nicht: wir lagerten bestandig auf ungeheuern Haufen vor: Ges traide und konnten uns kein Mehl verschaffen: die Armee war ficbzehn Tage ohne Brodt und lebre in dieser Zeit nur von Fleisch und Gemuse, besonders aber von Wassermelonen. Das wenige Getraide, das man braucht, verwandelt man durch Reiben mit Steinen in Mehl; nur in einigen arne Reiben mit find Muhlen, die durch Dchsen getrieben werden.- Wir wurden stets durch Sdwarme von Arabern beunruhigt, die die grosten Diebe und Bosewichter auf der Erde sind und sowohl Turken als Frans ten und uberhaupt alles, was ihnen unter die Han- de falt, ermorden. Sie halten sich mit ihren trefa lich kleinen Pferden hinter Dammen und Graben verborgen und wehe dem, der sich nur Hundert Schritte von der Colonne entfernte! ten hat wenig baares Geld, aber viel Getraide, Gemuse und Vieh. Die Republik kann keine wohl. gelegenere noch fruchtbarere Kolonie haben. Das Klima ist sehr zesung, weil die Nachte fuhl 1 3 Aegyp find. wid 2 Da die Coptsin, Juden und Griechen in Aegypten von der Regierung fehr bedruct wur: den und zugleich mehr Kenntnis als die andern Ein: losnter befasen, fo nahmen sie die Franzosen ,. mit Freuden auf. Bonaparte landete den Ifien Jul. 1798, ersturmte. Wlexandrien, lieferte den Mamelucken ein paar Treffen und rudce den 23sten Jul. deffelben Jahres in die Hauptstadt Kairo ein. Er qraf das Land ohne cine regelmar fige Kirgierung an. Er muste, daher eine neue",recogito-28370a93-4521-48d0-a8da-50545822debc,N/A,N/A,"Sie halten sich mit ihren trefa lich kleinen Pferden hinter Dammen und Graben verborgen und wehe dem, der sich nur Hundert Schritte von der Colonne entfernte!",https://digital.onb.ac.at/OnbViewer/viewer.faces?doc=ABO_%2BZ166069305&order=00000012&view=SINGLE
Z166069305_59,Z166069305,59,https://iiif.onb.ac.at/images/ABO/Z166069305/00000059/full/full/0/native.jpg,"31 11 1 DI It Wir kamen aus einer Stadt, wo die Menge von Magen viel Gerausch machte. Hier geht man zu Fus: 101 nur der Grosmeister besas einen Wagen mit fechs Pferden, of defien er fich bediente, wenn er aufs Land fuhr. Die T Ordensritter und andere Einwohner hatten zu demselben ju Gebrauche Chaisen, vor welche bios ein Maulefel gespannt war, den jemand an einer Leine fuhrte. Man trift in Maltha eine grose Menge Venuspriesterinnen von allen let's Nationen an. us Bei meiner Anfunft waren die Gemuther fehr gegen den englischen Reisenden Sridone aufgrbracht. Er hat die Lobensart der Ritter geschildert, cine nur einen dig einzigen wahreno reines Nufenthaltes auf dieser Inful hm besucht zu habra: fein Gemalde ist daher nicht treffend. TH 4 9 ! Eine franzosische Meile von der neuen Stadt liegt die Altstadt oder Citta Vecchia, wo sich der Bischof der Insel aufhielt. Die Hauptkirche ist ein rehrschenes Eebaude. Man sieht darin die herrlichsten Marmorarten Po wie diejenigen, die man unter dem Namen grun und g: lb antico kennt. Ob sie gleich sehr gros ist, so ist fte doch in ihrer ganzen Lange im Innern mit farmosinrothem Damaft behangt, der am Rande eine breite Borte von feinen Golde hat. Diefe religiosen Denkmaler sind einfas cher als in Genua und Palermo und nach meiner Meinung cudly schoner und geschmakvoller. Von dem Thurme der En hohen Qauptkirche herab entdekt man leicht den Berg Netna und reine dicken Rauchsaulen, ob er gleich beinahe id funf und Techzig franzosische Meilen von hier entfernt ist. 11 och 7. Nahe bei dieser Kirche ist eine Grotte von einem geringen Umfange, in deren Mitten eine schone Statue dos heiligen Paulus emporsteigt. Dieser Apostel steht bei den Malthefern in grosem Ansehen, weil er, wie Pie bibuupten, auf ihrer Insel gelandet sey und sie auf immer 1",recogito-cdd8f310-f15e-44d7-bd06-3e91351e3eae,N/A,N/A,"Wir kamen aus einer Stadt, wo die Menge von Magen viel Gerausch machte. Hier geht man zu Fus: 101 nur der Grosmeister besas einen Wagen mit fechs Pferden, of defien er fich bediente, wenn er aufs Land fuhr. Die T Ordensritter und andere Einwohner hatten zu demselben ju Gebrauche Chaisen, vor welche bios ein Maulefel gespannt",https://digital.onb.ac.at/OnbViewer/viewer.faces?doc=ABO_%2BZ166069305&order=00000059&view=SINGLE
Z166069305_148,Z166069305,148,https://iiif.onb.ac.at/images/ABO/Z166069305/00000148/full/full/0/native.jpg,"120 3 ich gesagt, dieser Haufe franzofisch gekleider Fremdlinge machte die Einwohner ubellaunisch: wir erhielten, indem wir durch die Stadt giengen, viele Schimpfreden und Steinwurfe, wovon einer mir ziemlich unsanft auf die Brust fiel. Hatte ich an Ahndungen geglaubt, ro wurde ich ohre Zweifel eine Reise nicht- fortgesezt haben, die unter so verdruslichen Vorb: deutungen anfieng. Ein Unglufsfall von einer andern Art erwartete uns in einiger- Entfernung von der Stadt. Es ivar ein empfindlicher Schlag fur diejenigen, deren Appetit fich in seiner Hoffnung getauscht fand. Der Efel, der den Mundvorrath trug und einer last von solcher Wichtigkeit unwurdig war, warf reine Korbe ab: Bouteillen, Teller, Safteten u. f. t. alles war in Stacken. Man brachte beinahe eine halbe Stunde damit zu, die Trummern aufzulesen und man lud fie einem weniger unbesonnenen Pferde auf. Bald uberfiel uns die Nacht; fie fonnte nicht finsterer feyin, und bei dem Verdruffe, in Gegenden, die mir unbekannt waren, lange zu reifen, ohne etwas zu sehen, war es als wenn ich noch nicht von Alexandrien abgereist ware. Ich hatte fur mich einen alten Diener, der iin Reifen geubt war, einen jungen Zeichner und einen Bombardirer von der Marine bei mir. Wir giengen in geschloffenen Reihen und machten nebst einem Janitscharen den Vortrab. gangen ist, findet man sich ganz nas. Auch gehen die Einges bornen und die sich daselbst aufhaltenden Europaer nie des Abends spabieren. Nach 14 Tagen waren alle unsere Instru: mente durch deu Nost verdorben. Vom item Juli an bis zum 21ten October 1798 habe ich am Tage feine Wolfeu und keinen Tropfen Regen geschen; gegen den October fiengen die Wolken an sich zu zeigen. Dies ist die Zeit des Regens und der Sturme. Die Winde, die fast bestandig westlich waren, fiengen an sich zu andern und sprangen hisweilen bis Nord und Nordost. Das Thermometer hielt sich bis zum 17ten Sept. in den Stuben 22 bis 25 Grad Regum ur und 33 auf der Ferrante, wo wir beobachteten. Der Ueberseker. 1",recogito-5892d1ea-8016-4e3e-9176-f6f6df833125,N/A,N/A,"Der Efel, der den Mundvorrath trug und einer last von solcher Wichtigkeit unwurdig war, warf reine Korbe ab: Bouteillen, Teller, Safteten u. f. t. alles war in Stacken. Man brachte beinahe eine halbe Stunde damit zu, die Trummern aufzulesen und man lud fie einem weniger unbesonnenen Pferde auf.",https://digital.onb.ac.at/OnbViewer/viewer.faces?doc=ABO_%2BZ166069305&order=00000148&view=SINGLE
Z166069305_152,Z166069305,152,https://iiif.onb.ac.at/images/ABO/Z166069305/00000152/full/full/0/native.jpg,"124 A bulir, ein Flecken, der auf den Trummern von Canopus*) steht. Die Suste an diesem Vorgebirge ift, wie ich schon bemerkt habe, nicht so niedrig als jene beim Thurme der Uraber, und ob fie gleich aus Sandhugeln besteht, so giebt sie doch keinen solchen An- blik von Einsamkeit und Unfruchtbarkeit: man fiebt das selbst Wohnungen und angebauetes fand. ta Nachdem man ungefahr rechs Meilen zurukgelegt hat, befindet man sich an dem ufer einer Art von See, der ein Heberbleibsel des canopischen Nilarmes ist. Jezt ist er eigcntlich eine Seclagune, die nur zu den Zeiten der hochsten leberschwemmung mit dem Nil in Verbin- dung steht. Man reitet zu Pferde durch dieselbe, wenn nicht etwa der Flus durch sein Austreten oder das durch Stirme empor gehobene Meer ihn vergrosert haben: in diesen Fallen fabrt man auf einem Fahrzeug uber denselbert, das vielleicht das unsicherste und unbequemste unter allen Fahren war. Die Mundung dieses alten Nilarmes ift rebr eng und durch eine Sandbank gebildet. Afchgraue spen **), streifen stets auf der Oberflache dieser Wasser herum, um die kleinen Seefische wegzufangen, die dahin -) Das alte Canopus lag 12 romisde Meilen von Aleran: judrien. Es hatte nach dem Strabo und Undern seinen Namen vom Canopus, dem Steuermanne des Menelaus, der daselbit starb. Von dieser Stadt wurde der Nilarm be: nannt, der hier ins Meer geht, und der vom canopischen Canal nach uierandria wohl zu unterscheiden ist. Vor der Erlau: ung dieser leztern Stadt wurde in Can op 11 6 der agyptische Handel allein gefuhrt. Serapis hatte einen Tempel hier, der bemorgen seiner Orakelspruche und Wunderkuren sehr haufig wurde.' Die Sanopier waren durch ihren Lurus und ihre Aussdhweifungen beruchtigt. Man machte taglids von Aferandrien aus auf dem cenopifchen Canal Luftpar: tien dahin. Der ueberreter. **, Mollette cendree, Buffon, Larus canus. L. .",recogito-e422911b-8c7b-4a1e-a4aa-df3d3f617c51,N/A,N/A,"Man reitet zu Pferde durch dieselbe, wenn nicht etwa der Flus durch sein Austreten oder das durch Stirme empor gehobene Meer ihn vergrosert haben: in diesen Fallen fabrt man auf einem Fahrzeug uber denselbert, das vielleicht das unsicherste und unbequemste unter allen Fahren war.",https://digital.onb.ac.at/OnbViewer/viewer.faces?doc=ABO_%2BZ166069305&order=00000152&view=SINGLE
Z166069305_175,Z166069305,175,https://iiif.onb.ac.at/images/ABO/Z166069305/00000175/full/full/0/native.jpg,"147 jenes plozliche und oft tddtliche Aufschwellen verursache, das unser Klee jederzeit bewirkt, wenn man ihn abweidet, ober wenn das Sieh folchen, der erst abgeschnitten worden ist, in allzugroser Menge und ohne eine andere Zuthat frist. + Da ich von der besten Art des Viehfutters gesprochen habe, fol mus ich auch ein Wort uber die zum Ackerbau tauglidifte Art von Thieren fagen. 1 Der Ochfe ist wirklich unter allen Hausthieren das. jenige, das dem Menschen die wichtigsten Dienste leift: t. Ein kriegerisches und eroberungssuchtiges Bolt wird die erste Stelle dem Pferde anweisen, allein ein solches Volk wird weder reich noch glutlich fenn. Eine weife Nation hingegen, die den Ackerbau fur die wahre Quelle der offentlichen Glukseligkeit ansieht, wird dem Ochsen den Vorzug geben. Man rehe jenes so stolze Pferd! Mit welcher Schnelligkeit lauft es auf der Ebene hin! welche Gewandtheit und welchen Stolz zeigt es in feinen Sewes gungen! Seine Augen funkeln; Fein Mund schaumt: die Marenlocher laffen kaum dem gluhenden und abgebrochenen Athem einen freien Durchgang; es scheint den Muth des Kriegers zutheilen, der es lenkt. Beide geben ohne Zweifel ein prachtiges Schauspiel: allein weder der Eine noch das Andere fnnen dem Schoose der Erde ihre Nahrung entreisen;"" fie ist die Frucht von den Anstren. gungen des Unglaklichen, den man in der Ferne gewahr wird, und der intit"" Muhe einen Pflug regiert, den Ochsen ziehen, welche auf eine befcheidene Art Muth und Aus. dauer im Arbeiten geigen: dieser ist es, der der Erd: durch sein Pflugeti'immer neue Fruchte abngthigt, und i'r allein weis das Eisen zur einzigen von der Natur erlaubten Eroberung zu gebrauchen. Sie Man weis, in welcher grosen Achtung die Ochren im alten Aegypten standen: fie gaben diesem aberglart. 0 KE 2",recogito-2caacee3-c22d-4a76-a2d7-ba794856a103,N/A,N/A,"Ein kriegerisches und eroberungssuchtiges Bolt wird die erste Stelle dem Pferde anweisen, allein ein solches Volk wird weder reich noch glutlich fenn. Eine weife Nation hingegen, die den Ackerbau fur die wahre Quelle der offentlichen Glukseligkeit ansieht, wird dem Ochsen den Vorzug geben. Man rehe jenes so stolze Pferd! Mit welcher Schnelligkeit lauft es auf der Ebene hin! welche Gewandtheit und welchen Stolz zeigt es in feinen Sewes gungen! Seine Augen funkeln; Fein Mund schaumt: die Marenlocher laffen kaum dem gluhenden und abgebrochenen Athem einen freien Durchgang; es scheint den Muth des Kriegers zutheilen, der es lenkt. Beide geben ohne Zweifel ein prachtiges Schauspiel: allein weder der Eine noch das Andere fnnen dem Schoose der Erde ihre Nahrung entreisen;&quot; fie ist die Frucht von den Anstren.",https://digital.onb.ac.at/OnbViewer/viewer.faces?doc=ABO_%2BZ166069305&order=00000175&view=SINGLE
Z166069305_219,Z166069305,219,https://iiif.onb.ac.at/images/ABO/Z166069305/00000219/full/full/0/native.jpg,"191 Danden streicheln und liebkosungen an fie verschwenden konnen, die diere kalten und stolzen Menschen weit gefuhl. vollern Wesen versagen. Hat man sie auch jezt nicht wie in den alten Zeiten vergdttert, so konnen fie doch nicht besser behandelt werden. 19 tel Es ist wahr, die Kasen find sehr sanft und sehr zutraulich. Sie haben nicht jenes Mistrauen und jenent . wilden Charakter, den in einigen Eheilen von Franke reich eine Race von diesen Thieren zeigt, die wilder als Eh Hausthiere find. Allein diese Verschiedenheiten find eben so sehr das Werk des Menschen als der Einwirkungen des Climas. In dem Departement, wo ich wohne und in den benachbarten Departements ift, besonders auf dem fande, die Kase nach den Ackerpferden das ungluklichste Chier. Herr und Diener jagen fie fort, schlagen fie, werfent fie mit Steinen, besen die Hunde auf sie, und geben ihr nichts zu freffen. Wenn sie der Hunger, woo von ihre Magerkeit ein Beweis ift, ndthigt, den Augen. blik abzupaffen, um etwas"" wegzustehlen, fo bezahlt der vorgebliche Rauber diese Geschiklichkeit, die er zu seiner Erhaltung gebraucht hatte, mit dem Leben. Warum polls ten die Kaben bei solchen grausamen Herren nicht eine wilde Physiognomie, ein Geprage von Wildheit annehmen? f Ich habe lange Zeit eine sprachtige angorische Kase befefsen. Sie war ganz mit langen reibenartigen Haarent bedekt, ihr sehr dichter Schwanz bildete einen fchonen Federbusch, den das Thier nach Wilfuhr uber seinen Korper in die Hohe hob. Kein Flecken, kein Schatten 3. perdunkelte das blendende Weis seiner Haare. Seine Nare, der Kreis um seine Lippen waren von einer zarten Rosenfarbe. In seinem runden Kopfe glanzten zwei grose Augen, wovon das Eine etwas gelb, das Andere aber blau war. Diese schone Kase befas noch mehr lies benswirdige Eigenschaften als Schonheit in ihren Stela 4",recogito-8438c431-385f-40f0-b167-51527c2c8e7e,N/A,N/A,"In dem Departement, wo ich wohne und in den benachbarten Departements ift, besonders auf dem fande, die Kase nach den Ackerpferden das ungluklichste Chier.",https://digital.onb.ac.at/OnbViewer/viewer.faces?doc=ABO_%2BZ166069305&order=00000219&view=SINGLE
Z166069305_263,Z166069305,263,https://iiif.onb.ac.at/images/ABO/Z166069305/00000263/full/full/0/native.jpg,"235 wie den Staffee, und thut noch Limonensaft dazu. Dieses Getrank ist ziemlich angenehm. Ich kann dies aber nicht von einem in diesem Lande sehr gewohnlichen Rogout fagen, den man aus Helbe'szweigen macht, die man mit Konig focht. Uebrigens sehen die Uegypter diese Pflanze, die fo viele vortrefliche Eigenschaften befizt, als ein wirklich allgemeines Hulfsmittel an. Profper Alpinus hat pich sehr weitlauftig uber ihre Heilkrafte ausgelassen*). Bei so vielen bortreflichen wahren oder erdichteten Eigene fchaften darf man sich nicht wundern, das die Aegypter das Bolshorn so hoch schagen, das nach Einem ihree Sprichworter: die Fuse glutlich sind, die den Boden betreten, worauf das selbe wa ch ft. I *** Uber auch unabhangig von diesen noch wenig ausge. machten Eigenschaften verdient der Anbau das Bokshorn in Frankreich verbreitet zu werden. Es giebt ein gutes Futter, das die Pferde gesund erhalt und selbst zu Threr Heilung von Krankheiten beitragt. Ich baue es feit mehrern Jahren auf meinem einsamen Aufenthalt Manoncourt, in dem Departement der Meurthe mit gluflichem Erfolge.( Man rehe La Feville du Culti. vateur vom 27. Mesfidor im 3. J.) Man sehe seine Bucher von den Pflanzen Hegypte#$ und von der Arzneitunde der Aegopter,",recogito-3bf200db-aeb9-4823-8923-6458b1f01d7e,N/A,N/A,"Es giebt ein gutes Futter, das die Pferde gesund erhalt und selbst zu Threr Heilung von Krankheiten beitragt.",https://digital.onb.ac.at/OnbViewer/viewer.faces?doc=ABO_%2BZ166069305&order=00000263&view=SINGLE
Z166069305_264,Z166069305,264,https://iiif.onb.ac.at/images/ABO/Z166069305/00000264/full/full/0/native.jpg,"256 . 144 04 Z w anzigstes Capitel. 1 w Reise nach Abutir Srummern Beduinen- Hafen und Rhede Judischer Drogman rothe Rebhuhner eine sehr grose fanelirte Statue Canopus Gouverneur Schlos und Dorf Abukir kleine Pyramide Rukreise nach Raschid. CD Zwischen Karahid und Alexandriert blieb mir noch ein Ort zu untersuchen ubrig, der einst unter dem Namen Canopus beruhmt war, heut zu Tage aber von den Arabern A bufir und von den europaischen Schiffern burch Verstummelung Bequiers genannt wird. Da er von dem gewohnlichen Wege abliegt, fo wird er wenig von Reisenden besucht. Ich wuste, das er besucht zu werden verdiente, und ich reste daher den iaten Novema ber dahin ab. Der Drogman zu Rachid, Herr fore ' neti, hatte die Gefadigkeit mich dahin zu begleiten, und * wir nahmen einen Janitscharen, meinen Zeichner und zwei Bediente mit. Wir erkletterten auf Maulefeln die Sandhugel, die den durren und berpeglichen Wall bilden, der Raschid von der Westfeite einschliest. Wir gelangten in die Ebene . der Thurmchen oder Pfeiler*) und erreichten hernach das *) Man fehe oben.",recogito-41bd83f1-06ec-4186-af2e-63dea256dfc8,N/A,N/A,"Ich wuste, das er besucht zu werden verdiente, und ich reste daher den iaten Novema ber dahin ab.",https://digital.onb.ac.at/OnbViewer/viewer.faces?doc=ABO_%2BZ166069305&order=00000264&view=SINGLE
Z166069305_273,Z166069305,273,https://iiif.onb.ac.at/images/ABO/Z166069305/00000273/full/full/0/native.jpg,"245 1 -1 1 hin mit einer Menge ebenfalls gut erhaltener Hieroglyphen bedekt war. Ich faufte fie jenem Manne ab, ob er gleich nicht mehr Antheil daran hatte als ich, und gab dem judischen Drogman den Auftrag, fie mir mit der ersten Schermes, die von A bukir abgienge, nach Rafchid zu schicken. Man kann daher auf den Reich- thum an Alterthumer auf diesem Boden, der nur mit einer dunnen Schicht Erbe und mit Schutt bedekt ist, schliesen, weil ein Mann in weniger als einer halben Stunde und ohne ein ander Instrument als feine Hand, womit er auf geradewohl in dem Boden scharrte, ein kostbares Stuk entdekte. Nach diesem Kaufe nahmen wir von dem gutert Juden Abschied, und erreichten den Weg, der nach Rarchid fuhrt, wo wir Abends um zehn Uhr eintrafen. Am Ufer saben wir viele Bachstelzen, und auf den Palms baumen Amseln, die so wie die Droffeln im Anfange des Winters im nordlichen Theile von Uegypten ankommen. Ihr Zug ist zahlreicher, wenn der Regen zu fallen anfangt. Nan sagt, das fie alsdann sehr fett und wohlschmeckend feyn. An unserer Seite liefen funf bis sechs Schakals vorbei: wir konnten fie im Mondenscheine deutlich erfen: nen: fie fchienen uber unsere Gegenwart nicht erschrocken ju seyn. Diesen ganzen Tag uber blies ein sehr starker Ostfudz ostwind: der Himmel war trube und des Abends bekamen wir Regen. Das Meer gieng hoch und feine Wetten brachen sich an den Dammen von A bukir und breite ten sich an der Kuste hin mit ungeftum aus. She Brarisen erschallte bis in die Einode, worin wir wart- derten und die fie wegfuhren zu wollen schienen. 1 1 11 BI 11 *****",recogito-a02a872b-8602-4ff4-93bd-f539ff93ada6,N/A,N/A,"Nach diesem Kaufe nahmen wir von dem gutert Juden Abschied, und erreichten den Weg, der nach Rarchid fuhrt, wo wir Abends um zehn Uhr eintrafen. Am Ufer saben wir viele Bachstelzen, und auf den Palms baumen Amseln, die so wie die Droffeln im Anfange des Winters im nordlichen Theile von Uegypten ankommen. Ihr Zug ist zahlreicher, wenn der Regen zu fallen anfangt. Nan sagt, das fie alsdann sehr fett und wohlschmeckend feyn. An unserer Seite liefen funf bis sechs Schakals vorbei: wir konnten fie im Mondenscheine deutlich erfen: nen: fie fchienen uber unsere Gegenwart nicht erschrocken ju seyn.",https://digital.onb.ac.at/OnbViewer/viewer.faces?doc=ABO_%2BZ166069305&order=00000273&view=SINGLE
Z166069305_274,Z166069305,274,https://iiif.onb.ac.at/images/ABO/Z166069305/00000274/full/full/0/native.jpg,"246 MO LIM 08 Ein und zwanzigstes Capitel. m2 IAS *** Beduinen Vogel Boghas Thurin von Canopus Abu- Mandur Weintrauben Wuste Schakals- Eided sen Insekten Schlange Scwierigteiten in Betreff der Pyras mide von Abukir Meinung der Aegypter uber Reisende. ul - Nach meiner Ruffehr von A bufir wunschte ich alle an der Mundung des Nils den Bogbas, der wegen seiner Gefahren und Schiffbruche so beruchtigt ift, zu besehen. Der Viceconsul, rein Drogman und ein fran. sofischer Kaufmann wollten mich begleiten, und wir tras ten unsere Reise auf Efeln an. Wir machten in den Garten oberhalb dem Schloffe balt. Hier hatten Bedula nen Araber ihr lager aufgeschlagen; ihre Zelte waren weder gros noch weniger gut: fie verriethen den elenden Zustand derjenigen, denen sie zum Schuge dienten, Die Frauen bedecken fich das Gesicht nicht, wie es die Weiber der andern in Aegypten wohnenden Volker thun, Das Frische der Jugend machte die weniger Bejahrten unter ihren noch ziemlich interessant, ob ihre Haut gleich etwas dunkel gefarbt war: fie schienen ziemlich gefadig fu fenn. Wir wurden bald von diefen Weibern umzingelt, die uns um eine Gabe ansprachen. Sie waren mit einem",recogito-a5b12bfb-3a78-46ac-8d62-73d5bf4425c9,N/A,N/A,"Der Viceconsul, rein Drogman und ein fran. sofischer Kaufmann wollten mich begleiten, und wir tras ten unsere Reise auf Efeln an.",https://digital.onb.ac.at/OnbViewer/viewer.faces?doc=ABO_%2BZ166069305&order=00000274&view=SINGLE
